1,Renascent - Wright Centre,38 Isabella Street,Toronto,ON,M4Y 1N1,647-846-8396,866-204-7864,info@renascent.ca,https://renascent.ca/,Residential,Public Funded,30,R.drawable.img_1
2,Renascent - Graham Munro Centre,356 Dundas Street West,Toronto,ON,M5T 1G5,416-847-6441,866-204-7864,info@renascent.ca,https://renascent.ca/,Residential,Public Funded,30,R.drawable.android_image_1
3,Renascent - Punani Centre,54 Madison Avenue,Toronto,ON,M5R 2S4,416-847-6443,866-204-7864,info@renascent.ca,https://renascent.ca/,Residential,Public Funded,30,R.drawable.android_image_1
4,Renascent - Paul J. Sullivan Centre,90 Colston Avenue,Brooklin,ON,L1M 1C1,905-655-5651,866-204-7864,info@renascent.ca,https://renascent.ca/,Residential,Public Funded,30,R.drawable.android_image_1
6,Sobriety House,90 First Avenue	,Ottawa,ON,K1S 2G4,613-233-0828,,sobrietyhouseottawa@gmail.com,https://www.sobriety.ca/,Residential,Public Funded,0,R.drawable.android_image_1
7,Rideauwood Addictions & Family Centre,312 Parkdale Ave	,Ottawa,ON,K1Y 4X5,613 -724-4881,,ethompson@rideauwood.org,https://www.rideauwood.org/,Out Patient,Public Funded,0,R.drawable.android_image_1
8,Serenity House,103 Leopolds Drive ,Ottawa,ON,K1V 7E2,613-562-4105,,info@serenityhouseottawa.com ,http://www.serenityhouseottawa.com/,Residential,Public Funded,0,R.drawable.android_image_1
9,Dave Smith Youth Treatment,1986 Scotch Corners Road,Carleton Place,ON,K7C 0C5,613-594-8333,866-334-4485,info@davesmithcentre.org,http://www.davesmithcentre.org/,Residential,Public Funded,0,R.drawable.android_image_1
10,Dave Smith Youth Treatment,112 Willowlea Road,Carp,ON,K7C 0C5,613-594-8333,866-334-4485,info@davesmithcentre.org,http://www.davesmithcentre.org/,Residential,Public Funded,0,R.drawable.android_image_1
11,Dave Smith Youth Treatment,1883 Bradley Side Road,Carp,ON,L0A 1A0,613-594-8333,866-334-4485,info@davesmithcentre.org,http://www.davesmithcentre.org/,Residential,Public Funded,0,R.drawable.android_image_1
12,Newgate 180 Addiction Rehab Centre,435 Main Street,Merrickville,ON,K0G 1N0,613-269-2672,888-524-8333,enquiries@newgate180.com,https://newgate180.com/,Residential,Public Funded,20,R.drawable.android_image_1
13,Canadian Centre for Addictions,208-20 De Boers Drive,Toronto,ON,M3J 0H1,905-800-1171,844-899-9959,info@ccfatreatment.org,https://canadiancentreforaddictions.org/,Residential,,,R.drawable.android_image_1
